question,answer,source
전결 규정 (Delegation of Authority)의 목적은 무엇인가요?,회사 내 의사 결정의 신속성과 책임성을 확보하기 위하여 전결 권한을 명확히 정하는 것이 목적입니다.,delegation_of_authority
"인사(채용, 승진, 징계) 사항에 대한 최종 승인권자는 누구입니까?",인사 사항에 대한 최종 승인권자는 대표이사입니다.,delegation_of_authority
50만원 이하의 예산 승인은 누가 할 수 있나요?,"팀장과 부서장이 승인할 수 있으며, 본부장에게는 보고가 이루어집니다.",delegation_of_authority
200만원을 초과하는 예산 승인의 결재 라인은 어떻게 되나요?,"팀장 검토, 부서장 검토, 본부장 승인을 거쳐 대표이사가 최종 승인합니다.",delegation_of_authority
500만원을 초과하는 계약 체결 시 본부장의 역할은 무엇인가요?,"본부장은 해당 계약 건에 대해 승인 역할을 수행하며, 이후 대표이사의 최종 승인이 필요합니다.",delegation_of_authority
전결권자가 부재 중일 때 권한을 어떻게 행사할 수 있나요?,"전결권자는 부재 시 서면으로 권한을 위임할 수 있으며, 위임된 권한은 위임된 범위 내에서만 행사할 수 있습니다. 이 내용은 재무팀 또는 관리팀을 통해 기록됩니다.",delegation_of_authority
전결 기록은 사내 시스템에서 몇 년간 보관됩니까?,모든 전결 기록은 사내 시스템에서 3년간 보관됩니다.,delegation_of_authority
정보 보안 정책 변경 시 부서장의 권한은 무엇인가요?,부서장은 정보 보안 정책 변경에 대해 승인 권한을 가집니다.,delegation_of_authority
전결 규정 관련 문의는 어느 부서에 해야 하나요?,"재무팀 또는 관리팀에 문의할 수 있으며, 담당자는 관리팀장 박성호(02-1234-5678, parks@company.com)입니다.",delegation_of_authority
법적 분쟁 및 소송 대응 시 팀장의 역할은 무엇입니까?,전결 권한 표에 따르면 법적 분쟁 및 소송 대응 사항에 대해 팀장의 역할은 명시되어 있지 않습니다(해당 없음).,delegation_of_authority
직원 복리후생 및 복지 FAQ에 따르면 연차 휴가는 어떻게 신청하나요?,"연차 휴가는 본인 승인을 통해 자유롭게 사용할 수 있으며, 사내 HR 시스템에서 신청할 수 있습니다.",employee_benefits_and_welfare_faq
근속 연수에 따른 연차 휴가 일수는 어떻게 계산되나요?,"근속 연수 1년 미만은 월 1일, 1~3년은 15일, 10년 이상은 20일이 지급됩니다.",employee_benefits_and_welfare_faq
사용하지 않은 연차를 다음 해로 이월할 수 있나요?,"아니요, 연차는 해당 연도에 사용해야 하며 이월은 불가합니다.",employee_benefits_and_welfare_faq
출산 휴가의 유급 지원 기간은 최대 며칠인가요?,출산 휴가는 최대 20일 유급으로 제공됩니다.,employee_benefits_and_welfare_faq
육아 휴가의 기간과 급여 지원 조건은 어떻게 되나요?,"육아 휴가는 최대 1년까지 사용할 수 있으며, 첫 3개월 동안은 급여의 50%가 지급됩니다.",employee_benefits_and_welfare_faq
경조사 지원금은 어떤 방식으로 신청하고 지급받나요?,"HR 시스템을 통해 신청할 수 있으며, 지원금은 지정된 계좌로 지급됩니다.",employee_benefits_and_welfare_faq
외부 교육비를 지원받기 위해 필요한 절차는 무엇인가요?,외부 교육 프로그램 신청 후 영수증을 첨부하여 HR 시스템에 신청해야 합니다.,employee_benefits_and_welfare_faq
회사에서 지원하는 온라인 교육 플랫폼은 무엇인가요?,회사 지정 플랫폼인 Inflearn과 Udemy를 자유롭게 이용할 수 있습니다.,employee_benefits_and_welfare_faq
문화의 날 지원금의 한도와 사용 가능 항목은 무엇인가요?,"영화, 공연, 스포츠 등 문화 활동 비용으로 월 최대 50,000원까지 지원됩니다.",employee_benefits_and_welfare_faq
동호회 활동 시 지원받을 수 있는 금액은 얼마인가요?,"사전에 등록된 동호회 활동에 한해 월 최대 100,000원까지 지원됩니다.",employee_benefits_and_welfare_faq
통신비 지원은 어떤 방식으로 이루어지나요?,"매월 50,000원이 급여와 함께 지급됩니다.",employee_benefits_and_welfare_faq
생일과 입사 기념일에 제공되는 선물은 각각 무엇인가요?,"생일에는 기념품이 제공되며, 입사 기념일에는 기념 타월이 제공됩니다.",employee_benefits_and_welfare_faq
복리후생과 관련하여 문의할 담당자의 연락처는 무엇인가요?,"HR 담당자 김지현 (이메일: kimjh@company.com, 전화번호: 02-1234-5678)에게 문의할 수 있습니다.",employee_benefits_and_welfare_faq
직원 복리후생 및 복지 가이드에 따르면 이 제도의 적용 대상은 누구인가요?,"정규직, 계약직, 인턴 등 모든 직원에게 적용됩니다.",employee_benefits_and_welfare_guide
회사가 제공하는 정기 건강 검진의 비용 부담은 어떻게 되나요?,회사가 검진 비용을 100% 부담합니다.,employee_benefits_and_welfare_guide
근속 연수가 5년인 직원은 연차 유급 휴가를 며칠 받을 수 있나요?,근속 연수 4~6년 구간에 해당하므로 17일의 연차 휴가가 지급됩니다.,employee_benefits_and_welfare_guide
