question,answer,source
법적 분쟁 및 소송 대응 시 팀장의 역할은 무엇입니까?,전결 권한 표에 따르면 법적 분쟁 및 소송 대응 사항에 대해 팀장의 역할은 명시되어 있지 않습니다(해당 없음).,delegation_of_authority
500만원을 초과하는 계약 체결 시 본부장의 역할은 무엇인가요?,"본부장은 해당 계약 건에 대해 승인 역할을 수행하며, 이후 대표이사의 최종 승인이 필요합니다.",delegation_of_authority
경조사 지원금은 어떤 방식으로 신청하고 지급받나요?,"HR 시스템을 통해 신청할 수 있으며, 지원금은 지정된 계좌로 지급됩니다.",employee_benefits_and_welfare_faq
회사에서 지원하는 온라인 교육 플랫폼은 무엇인가요?,회사 지정 플랫폼인 Inflearn과 Udemy를 자유롭게 이용할 수 있습니다.,employee_benefits_and_welfare_faq
매달 지원되는 통신비와 식사비의 최대 금액은 각각 얼마인가요?,"통신비는 매월 50,000원, 식사비는 월 최대 150,000원까지 지원됩니다.",employee_benefits_and_welfare_guide
회사가 제공하는 정기 건강 검진의 비용 부담은 어떻게 되나요?,회사가 검진 비용을 100% 부담합니다.,employee_benefits_and_welfare_guide
본인 결혼과 부모 사망 시 각각 며칠의 경조 휴가를 받을 수 있나요?,"본인 결혼 시에는 5일, 부모 사망 시에는 5일의 경조 휴가를 받을 수 있습니다.",employee_handbook_and_hr_policy
"신규 채용 직원의 수습 기간은 몇 개월이며, 정식 채용 여부는 어떻게 결정되나요?","신규 채용 직원은 3개월의 수습 기간을 거치며, 수습 기간 중 근무 태도 및 성과 평가 결과에 따라 정식 채용 여부를 결정합니다.",employee_handbook_and_hr_policy
경비 사용 후 일반적인 정산 기한은 어떻게 되나요?,경비 사용 후 5영업일 내에 정산을 완료해야 합니다.,expense_management_guide
200만원을 초과하는 경비를 지출하려면 누구의 승인이 필요한가요?,재무팀의 승인이 필요합니다.,expense_management_guide
회사 노트북을 분실하거나 파손했을 경우 절차는 어떻게 되나요?,장비 분실 또는 파손 발생 시 즉시 IT 지원팀에 보고해야 합니다.,it_support_guide
IT 지원 가이드에 따른 지원 대상은 누구인가요?,"본 가이드는 정규직, 계약직, 인턴을 포함한 모든 사내 직원에게 적용됩니다.",it_support_guide
법률 및 준수 정책에 명시된 징계의 종류는 무엇인가요?,"징계의 종류에는 경고, 감봉, 정직, 해고가 있습니다.",legal_and_compliance_policy
퇴사한 직원도 기밀 유지 의무가 있나요?,"네, 모든 직원은 근무 중뿐만 아니라 퇴사 후에도 기밀 정보를 외부에 유출할 수 없는 의무가 있습니다.",legal_and_compliance_policy
