question,answer,source
이 복리후생 가이드의 적용 대상은 누구인가요?,"정규직, 계약직, 인턴을 포함한 모든 직원에게 적용됩니다.",직원 복리후생 및 복지 가이드 제 2 조
회사가 제공하는 건강 관리 혜택에는 무엇이 있나요?,"국민건강보험료 일부 부담, 단체 실손 보험 제공(입원 및 통원 치료비 지원), 그리고 매년 1회 회사가 100% 비용을 부담하는 정기 건강 검진이 제공됩니다.","직원 복리후생 및 복지 가이드 제 3 조, 제 4 조"
근속 연수가 5년인 직원은 1년에 며칠의 연차 휴가를 받나요?,근속 연수 4~6년 구간에 해당하므로 17일의 연차 유급 휴가를 받습니다.,직원 복리후생 및 복지 가이드 제 5 조
육아 휴직 시 급여 지원 조건은 어떻게 되나요?,"육아 휴직은 최대 1년까지 가능하며, 첫 3개월 동안 급여의 50%를 지원합니다.",직원 복리후생 및 복지 가이드 제 6 조
본인 생일이나 결혼 기념일에도 휴가를 쓸 수 있나요?,"네, 경조 휴가 규정에 따라 본인 생일과 결혼 기념일에 각각 1일의 휴가가 부여됩니다.",직원 복리후생 및 복지 가이드 제 7 조
"유연 근무제(재택 근무, 시차 출근)를 사용하려면 어떤 절차가 필요한가요?",사전 승인을 받은 직원이 본인 승인을 통해 적용하여 사용할 수 있습니다.,직원 복리후생 및 복지 가이드 제 8 조
자기계발을 위한 교육비 지원 한도는 얼마인가요?,"외부 교육 프로그램 등록 시 비용의 50%(연간 최대 200,000원)를 지원하며, 직무 관련 자격증 응시료는 최대 100,000원까지 지원합니다.",직원 복리후생 및 복지 가이드 제 9 조
'문화의 날' 혜택에 대해 설명해 주세요.,"매월 마지막 금요일 오후 3시 이후에 자유 시간이 부여되며, 영화나 공연 관람 등을 위해 월 최대 50,000원의 문화 활동 지원비가 제공됩니다.",직원 복리후생 및 복지 가이드 제 12 조
매달 지급되는 통신비와 식사 지원금은 각각 얼마인가요?,"통신비는 매월 50,000원, 식사비는 월 최대 150,000원까지 지원됩니다.","직원 복리후생 및 복지 가이드 제 15 조, 제 17 조"
복리후생 신청 방법과 문의처는 어디인가요?,"사내 HR 시스템을 통해 신청할 수 있으며, 문의 사항은 인사팀 김지현 팀장(02-1234-5678, kimjh@company.com)에게 연락하면 됩니다.","직원 복리후생 및 복지 가이드 제 18 조, 제 19 조"
