question,answer,source
직원 복리후생 및 복지 가이드에 따르면 복리후생 제도의 적용 대상은 누구인가요?,"정규직, 계약직, 인턴 등 모든 직원에게 적용됩니다.",직원 복리후생 및 복지 가이드
회사가 제공하는 정기 건강 검진의 비용과 항목은 어떻게 되나요?,"검진 비용은 회사가 100% 부담하며, 항목은 혈액 검사와 X-ray를 포함한 기본 검진에 종합 검진 옵션이 추가됩니다.",직원 복리후생 및 복지 가이드
근속 연수가 5년인 직원이 받을 수 있는 연차 유급 휴가 일수는 며칠인가요?,근속 연수 4~6년에 해당하므로 17일의 연차 휴가가 지급됩니다.,직원 복리후생 및 복지 가이드
육아 휴가의 기간과 급여 지원 조건은 무엇인가요?,"육아 휴가는 최대 1년까지 가능하며, 첫 3개월 동안은 급여의 50%를 지원합니다.",직원 복리후생 및 복지 가이드
본인 결혼 시 제공되는 경조 휴가와 경조사 지원금은 각각 얼마인가요?,본인 결혼 시 5일의 경조 휴가와 30만 원의 지원금이 제공됩니다.,직원 복리후생 및 복지 가이드
외부 교육 프로그램 수강 시 회사가 지원하는 금액의 한도는 얼마인가요?,"등록 비용의 50%를 지원하며, 연간 최대 한도는 200,000원입니다.",직원 복리후생 및 복지 가이드
문화의 날 혜택에 대해 설명해 주세요.,"매월 마지막 금요일 오후 3시 이후에 자유 시간이 부여되며, 영화나 공연 관람 등을 위해 월 최대 50,000원의 문화 활동 지원비가 제공됩니다.",직원 복리후생 및 복지 가이드
매월 지원되는 통신비와 식사비의 최대 금액은 각각 얼마인가요?,"통신비는 매월 50,000원, 식사비는 월 최대 150,000원까지 지원됩니다.",직원 복리후생 및 복지 가이드
복리후생 신청은 어떤 경로를 통해 해야 하나요?,사내 HR 시스템을 통해 신청할 수 있습니다.,직원 복리후생 및 복지 가이드
복리후생 관련 문의를 위한 인사팀 담당자의 연락처는 무엇인가요?,"담당자는 김지현 인사팀장이며, 이메일은 kimjh@company.com, 전화번호는 02-1234-5678입니다.",직원 복리후생 및 복지 가이드
